Eleventh Step Group|Location is: Erie Sunrise Group|1|17:30:00|18:30:00|120 N Ash, WICHITA, TX 67214|33.9642829|-98.5077655
Erie Sunrise Group|Location is: Erie Sunrise Group|5|08:00:00|09:00:00|120 N Ash, WICHITA, TX 67214|33.9642829|-98.5077655
Erie Men's Group|Location is: Erie Sunrise Group|5|20:00:00|21:00:00|120 N Ash, WICHITA, TX 67214|33.9642829|-98.5077655
Erie Sunrise Group|Location is: Erie Sunrise Group|3|08:00:00|09:00:00|120 N Ash, WICHITA, TX 67214|33.9642829|-98.5077655
Eleventh Step Group|Location is: Erie Sunrise Group|3|17:30:00|18:30:00|120 N Ash, WICHITA, TX 67214|33.9642829|-98.5077655
Erie Men's Group|Location is: Erie Sunrise Group|3|20:00:00|21:00:00|120 N Ash, WICHITA, TX 67214|33.9642829|-98.5077655
Erie Sunrise Group|Location is: Erie Sunrise Group|4|08:00:00|09:00:00|120 N Ash, WICHITA, TX 67214|33.9642829|-98.5077655
Northeast Group|Location is: Northeast Group|6|11:30:00|12:30:00|530 N Cleveland, WICHITA, TX 67214|34.0319314|-98.92333510000003
Northeast Group|Location is: Northeast Group|2|11:30:00|12:30:00|530 N Cleveland, WICHITA, TX 67214|34.0319314|-98.92333510000003
Northeast Group 2|Location is: Northeast Group|2|20:00:00|21:00:00|530 N Cleveland, WICHITA, TX 67214|34.0319314|-98.92333510000003
Northeast Group 4|Location is: Northeast Group|7|13:00:00|14:00:00|530 N Cleveland, WICHITA, TX 67214|34.0319314|-98.92333510000003
Northeast Group 5|Location is: Northeast Group|1|11:00:00|12:00:00|530 N Cleveland, WICHITA, TX 67214|34.0319314|-98.92333510000003
Northeast Group|Location is: Northeast Group|5|11:30:00|12:30:00|530 N Cleveland, WICHITA, TX 67214|34.0319314|-98.92333510000003
Northeast Group 3|Location is: Northeast Group|5|19:00:00|20:00:00|530 N Cleveland, WICHITA, TX 67214|34.0319314|-98.92333510000003
Northeast Group|Location is: Northeast Group|3|11:30:00|12:30:00|530 N Cleveland, WICHITA, TX 67214|34.0319314|-98.92333510000003
Northeast Group|Location is: Northeast Group|4|11:30:00|12:30:00|530 N Cleveland, WICHITA, TX 67214|34.0319314|-98.92333510000003
Northeast Group 2|Location is: Northeast Group|4|20:00:00|21:00:00|530 N Cleveland, WICHITA, TX 67214|34.0319314|-98.92333510000003
Beginners Group 2|Location is: Beginners Group|6|20:00:00|21:00:00|204 W 18th, WICHITA, TX 67203|33.8777428|-98.5413226
Beginners Group|Location is: Beginners Group|2|17:30:00|18:30:00|204 W 18th, WICHITA, TX 67203|33.8777428|-98.5413226
Beginners Group 2|Location is: Beginners Group|2|20:00:00|21:00:00|204 W 18th, WICHITA, TX 67203|33.8777428|-98.5413226
Beginners Group 2|Location is: Beginners Group|7|20:00:00|21:00:00|204 W 18th, WICHITA, TX 67203|33.8777428|-98.5413226
Beginners Group|Location is: Beginners Group|1|17:30:00|18:30:00|204 W 18th, WICHITA, TX 67203|33.8777428|-98.5413226
Beginners Group 2|Location is: Beginners Group|1|20:00:00|21:00:00|204 W 18th, WICHITA, TX 67203|33.8777428|-98.5413226
Beginners Group 2|Location is: Beginners Group|5|20:00:00|21:00:00|204 W 18th, WICHITA, TX 67203|33.8777428|-98.5413226
Beginners Group 2|Location is: Beginners Group|3|20:00:00|21:00:00|204 W 18th, WICHITA, TX 67203|33.8777428|-98.5413226
Beginners Group 2|Location is: Beginners Group|4|20:00:00|21:00:00|204 W 18th, WICHITA, TX 67203|33.8777428|-98.5413226
Living Sober Group|Location is: Presbyterian Church|2|20:00:00|21:00:00|208 East Bush, Prairie Grove, TX 72753|31.820818|-94.48641429999998
Living Sober Group|Location is: Presbyterian Church|5|20:00:00|21:00:00|208 East Bush, Prairie Grove, TX 72753|31.820818|-94.48641429999998
Living Sober Group|Location is: Presbyterian Church|7|18:00:00|19:00:00|208 East Bush, Prairie Grove, TX 72753|31.820818|-94.48641429999998
Friendship Group 4|Location is: Friendship Group|6|00:00:00|01:00:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group|Location is: Friendship Group|6|12:00:00|13:00:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group 2|Location is: Friendship Group|6|17:30:00|18:30:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group 3|Location is: Friendship Group|6|20:00:00|21:00:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group|Location is: Friendship Group|2|12:00:00|13:00:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
